objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
romcom_001,,k3z1lwDD_fs,,"Labs Kita, Okey Ka Lang?","Jerry Lopez Sineneng (filipino director, 1965-present)",1998-08-26,"In this restored and remastered film, childhood best friends Ned (Marvin Agustin) and Bujoy's (Jolina Magdangal) friendship is threatened by Bujoy's growing feelings for him and the arrival of her beautiful balikbayan friend, Mary Ann (Vanessa del Bianco). ",Romance; Comedy; Drama,Philippines,,,ABS-CBN Star Cinema,,Image;MovingImage,video/mp4,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
romcom_002,,5KN-jSlzfOs,,The Breakup Playlist,"Dan Villegas (filipino director, 1950-present)",2015-07-01,"A story about the relationship and eventual breakup of aspiring singer Trixie (Sarah Geronimo) and rocker Gino (Piolo Pascual), and how reuniting for a project will affect their lingering feelings for each other. Released in 2015 and directed by Dan Villegas.",Romance; Drama,Philippines,,,ABS-CBN Star Cinema,,Image;MovingImage,video/mp4,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
romcom_003,,AVd2U3YgBfg,,Starting Over Again,"Olivia M. Lamasan (filipino director, 1958-present)",2014-02-12,"Starting Over Again’ chronicles the love story and eventual breakup of architecture student Ginny (Toni Gonzaga) and history professor Marco (Piolo Pascual). Years later, they are reunited when Ginny is tasked to renovate Marco’s ancestral home. Released in 2014 and directed by Olivia M. Lamasan.",Romance; Drama,Philippines,,,ABS-CBN Star Cinema,,Image;MovingImage,video/mp4,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
romcom_004,,yN82iwKGrC0,,One More Chance,"Cathy Garcia-Sampana (filipino director, 1971-present)",2007-11-14,"Having been a couple since college, Basha (Bea Alonzo) and Popoy (John Lloyd Cruz) seem inseparable. But as Basha looks to spread her wings, this stifles their relationship. Released in 2007 and directed by Cathy Garcia-Sampana.

Starring Bea Alonzo, John Lloyd Cruz, Derek Ramsay, and Maja Salvador.",Romance; Drama,Philippines,,,ABS-CBN Star Cinema,,Image;MovingImage,video/mp4,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
romcom_005,,Df1dqWaC7c0,,Barcelona: A Love Untold,"Olivia M. Lamasan (filipino director, 1958-present)",2016-09-14,"Architecture student Ely (Daniel Padilla) studying in Spain meets Mia (Kathryn Bernardo), and together, they try to face their past while falling in love. Released in 2016 and directed by Olivia M. Lamasan. 

Starring Kathryn Bernardo, Daniel Padilla, Joshua Garcia, Aiko Melendez, and Maria Isabel Lopez.",Romance; Drama,"Barcelona, Spain",,,ABS-CBN Star Cinema,,Image;MovingImage,video/mp4,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
romcom_006,,dM4wQVNGVcQ,,She's the one ,"Mae Cruz-Alviar (filipino director, 1974-present)",2013-10-16,"Wacky (Dingdong Dantes), Cat (Bea Alonzo), David (Enrique Gil), and Gillian (Liza Soberano) try to find love in the wrong people instead of noticing the ones right by their side. Released in 2013 and directed by Mae Cruz-Alviar.",Romance; Drama,Philippines,,,ABS-CBN Star Cinema,,Image;MovingImage,video/mp4,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
romcom_007,,X8NB6U7RDpQ,,Bakit hindi ka crush ng crush mo,"Joyce Bernal (filipino director, 1968-present)",2013-07-31,"Based on Ramon Bautista’s book of the same name, this film adaptation revolves around Sandy’s (Kim Chiu) quest to find the answer to why she is repeatedly brokenhearted despite giving her all for love. Her boss Alex (Xian Lim) comes to her rescue by helping her improve herself. Is this Sandy’s chance for true love?",Romance; Comedy,Philippines,,,ABS-CBN Star Cinema,,Image;MovingImage,video/mp4,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
romcom_008,,ltQQ04N4bl0,,Talk Back and Your Dead,"Andoy Ranay (filipino director, 1973-present)",2014-08-20,"Based on the best-selling novel of the same title, the movie tells the story of Samantha (Nadine Lustre) as she falls in love with Top (James Reid), the hot-headed leader of the “Lucky 13” gang.",Romance; Comedy; Action,Philippines,,,ABS-CBN Star Cinema,,Image;MovingImage,video/mp4,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
romcom_009,,3_BtFPbABl4,,Diary ng Panget,"Andoy Ranay (filipino director, 1973-present)",2014-04-02,"A poor, self-described ugly girl takes a job as a personal maid for a rich, handsome young man. The two don't get along, but as they get tangled in their classmates' games of affection, their relationship becomes more complicated",Romance; Comedy,Philippines,,,VIVAFilms,,Image;MovingImage,video/mp4,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
romcom_010,,PmIHabkJ_-s,,Can't This be love,"Jose Javier Reyes (filipino director, 1954-present)",2005-04-27,"Part-time typist Ryan (Hero Angeles) encounters the worst term paper he's ever read which turns out to be from Korean immigrant student Daisy (Sandara Park). Through their constant bickering and cultural barriers, their indifference towards each other turns into a budding romance.",Romance; Comedy,Philippines,,,ABS-CBN Star Cinema,,Image;MovingImage,video/mp4,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
